,Name of feature,Discerption,Type,Relevance,,,
,age,age of each pearson,discrete,"Relevant, it provides useful information. (independent",,,
,default,defult amount of each person,continous,"Irrelevant, does not provide useful information. ",,,
,balance,balance amount of each person,continous,"Relevant, it provides useful information. (independent",,,
,housing,no of house,continous,"Relevant, it provides useful information. (independent",,,
,loan,no of loan taken,continous,"Relevant, it provides useful information. (independent",,,
,duration,duration taken to pay loan,discrete,"Relevant, it provides useful information. (independent",,,
,campaign,no of campagin done,discrete,"Irrelevant, does not provide useful information. ",,,
,pdays,no of pay days,discrete,"Irrelevant, does not provide useful information. ",,,
,previous,previous data,ratio,"Irrelevant, does not provide useful information. ",,,
,poutfailure,poutfailure of each person,discrete,"Irrelevant, does not provide useful information. ",,,
,poutother,poutother of prson,discrete,"Irrelevant, does not provide useful information. ",,,
,poutsuccess,pout success o each person ,discrete,"Irrelevant, does not provide useful information. ",,,
,poutunknown,pout known of person,discrete,"Irrelevant, does not provide useful information. ",,,
,con_cellular,cellular contact no given,discrete,"Relevant, it provides useful information. (independent",,,
,con_telephone,telephone contact no given,discrete,"Relevant, it provides useful information. (independent",,,
,con_unknown,unknown contact,discrete,"Relevant, it provides useful information. (independent",,,
,divorced,person is divorced,discrete,"Relevant, it provides useful information. (independent",,,
,married,person is married,discrete,"Relevant, it provides useful information. (independent",,,
,single,person is single,discrete,"Relevant, it provides useful information. (independent",,,
,joadmin.,person is admin or not,discrete,"Irrelevant, does not provide useful information. ",,,
,joblue.collar,person is collar or not,discrete,"Irrelevant, does not provide useful information. ",,,
,joentrepreneur,person is enterpreneur or not,discrete,"Irrelevant, does not provide useful information. ",,,
,johousemaid,person is housemaid or not,discrete,"Irrelevant, does not provide useful information. ",,,
,jomanagement,person ismanagment or not,discrete,"Irrelevant, does not provide useful information. ",,,
,joretired,person is retirede or not,discrete,"Irrelevant, does not provide useful information. ",,,
,joself.employed,person is self employed or not,discrete,"Irrelevant, does not provide useful information. ",,,
,joservices,person is in service or not,discrete,"Irrelevant, does not provide useful information. ",,,
,jostudent,person is student or not,discrete,"Irrelevant, does not provide useful information. ",,,
,jotechnician,person is technician  or not,discrete,"Irrelevant, does not provide useful information. ",,,
,jounemployed,person is employed or not,discrete,"Irrelevant, does not provide useful information. ",,,
,jounknown,abot unknown person,discrete,"Irrelevant, does not provide useful information. ",,,
,y,output of details given,discrete,"Relevant, it provides useful information. (independent",,,
